Time(s),Ventricular,Atrial
5.4736409187316895,60512,60511
5.47946310043335,60511,16351
5.495331287384033,61920,61919
5.507792711257935,61919,16351
5.520663499832153,60128,60127
5.5312793254852295,60127,16351
5.54167914390564,61920,61919
5.55203104019165,61919,16351
5.562698602676392,62496,62495
5.573287487030029,62495,16351
5.583748817443848,62560,62559
5.594787120819092,62559,16351
5.605213403701782,62048,62047
5.61565375328064,62047,16351
5.626007556915283,62176,62175
5.636508941650391,62175,16351
5.646926403045654,60640,60639
5.657270431518555,60639,16351
5.667762994766235,63008,63007
5.67828369140625,63007,16351
5.689035177230835,61088,61087
5.6991541385650635,61087,16351
5.709210634231567,62496,62495
5.719488859176636,62495,16351
5.7298572063446045,60000,59999
5.740366220474243,59999,16351
5.7509987354278564,61536,61535
5.76138973236084,61535,16351
5.802725791931152,60768,60767
5.813281297683716,60767,16351
5.823716402053833,63072,63071
5.833949565887451,63071,16351
5.844695091247559,60768,60767
5.855230331420898,60767,16351
5.865717649459839,62368,62367
5.876368045806885,62367,16351
5.887144327163696,61216,61215
5.897704124450684,61215,16351
5.908121347427368,62112,62111
5.918841123580933,62111,16351
5.929183483123779,60384,60383
5.939857006072998,60383,16351
5.949462175369263,62752,62751
5.959476947784424,62751,16351
5.969465017318726,62048,62047
5.980055809020996,62047,16351
5.990349531173706,63072,63071
6.0027124881744385,63071,16351
6.009475946426392,60896,60895
6.024665355682373,60895,16351
6.033788442611694,61856,61855
6.046867847442627,61855,16351
6.054713487625122,60640,60639
6.06519079208374,60639,16351
6.075796842575073,61408,61407
6.086252212524414,61407,16351
6.096722602844238,61472,61471
6.107203960418701,61471,16351
6.1176698207855225,63520,63519
6.128102779388428,63519,16351
6.138460874557495,60128,60127
6.149284601211548,60127,16351
6.159769535064697,62496,62495
6.1703619956970215,62495,16351
6.180738925933838,59936,59935
6.191177129745483,59935,16351
6.20175838470459,63776,63775
6.212068319320679,63775,16351
6.222711086273193,62112,62111
6.232980728149414,62111,16351
6.2434375286102295,61664,61663
6.254044055938721,61663,16351
6.264362335205078,61216,61215
6.274451732635498,61215,16351
6.284722328186035,62176,62175
6.295056343078613,62175,16351
6.3056628704071045,59808,59807
6.315877199172974,59807,16351
6.326288938522339,62816,62815
6.336831092834473,62815,16351
6.347190856933594,61728,61727
6.357450008392334,61727,16351
6.367627859115601,61728,61727
6.377808570861816,61727,16351
6.388115406036377,61408,61407
6.398738861083984,61407,16351
6.408901929855347,63200,63199
6.4191200733184814,63199,16351
6.429701566696167,62112,62111
6.440517425537109,62111,16351
6.45081901550293,62176,62175
6.461436033248901,62175,16351
6.471571207046509,60448,60447
6.482247352600098,60447,16351
6.492460489273071,62176,62175
6.503342390060425,62175,16351
6.514034271240234,62112,62111
6.5244457721710205,62111,16351
6.53476881980896,62368,62367
6.547796726226807,62367,16351
6.564018249511719,60512,60511
6.577140808105469,60511,16351
6.587702035903931,62560,62559
6.59823203086853,62559,16351
6.608866214752197,61216,61215
6.6191370487213135,61215,16351
6.629443168640137,62496,62495
6.639319896697998,62495,16351
6.6493120193481445,61536,61535
6.659518718719482,61535,16351
6.669684410095215,63264,63263
6.679709196090698,63263,16351
6.689768314361572,60960,60959
6.699901103973389,60959,16351
6.710074186325073,62368,62367
6.7204978466033936,62367,16351
6.73082971572876,60000,59999
6.74092173576355,59999,16351
6.751295804977417,61600,61599
6.761848211288452,61599,16351
6.772270441055298,61472,61471
6.782798528671265,61471,16351
6.793246269226074,63072,63071
6.804747104644775,63071,16351
6.813983917236328,60448,60447
6.823760747909546,60447,16351
6.834165573120117,60896,60895
6.845076560974121,60895,16351
6.8556578159332275,61216,61215
6.866292238235474,61215,16351
6.8766703605651855,62048,62047
6.892723560333252,62047,16351
6.8977882862091064,61472,61471
6.9081830978393555,61471,16351
6.918639183044434,62368,62367
6.929119110107422,62367,16351
6.939746856689453,60064,60063
6.949468374252319,60063,16351
6.959477186203003,62048,62047
6.969472408294678,62047,16351
6.979886293411255,61728,61727
6.9903950691223145,61727,16351
7.0012054443359375,61472,61471
7.0357584953308105,61471,16351
7.042660713195801,61088,61087
7.053204774856567,61087,16351
7.063741445541382,62176,62175
7.07985258102417,62175,16351
7.093065023422241,61024,61023
7.103641033172607,61023,16351
7.113674879074097,62688,62687
7.1245434284210205,62687,16351
7.134950160980225,60512,60511
7.14526629447937,60511,16351
7.156188011169434,60960,60959
7.166747570037842,60959,16351
7.177215337753296,60512,60511
7.18778395652771,60511,16351
7.198159694671631,62368,62367
7.20871376991272,62367,16351
7.219102621078491,58720,58719
7.229599237442017,58719,16351
7.239873647689819,62752,62751
7.24947452545166,62751,16351
7.25948429107666,61536,61535
7.269483327865601,61535,16351
7.280165433883667,62560,62559
7.291385173797607,62559,16351
7.301494121551514,60512,60511
7.31173300743103,60511,16351
7.3223090171813965,62560,62559
7.332836151123047,62559,16351
7.344768762588501,60896,60895
7.3536951541900635,60895,16351
7.3642191886901855,62688,62687
7.374622821807861,62687,16351
7.3852410316467285,60896,60895
7.395652770996094,60895,16351
7.406763792037964,62816,62815
7.41777491569519,62815,16351
7.4297332763671875,60448,60447
7.437288761138916,60447,16351
7.44761323928833,61792,61791
7.457897663116455,61791,16351
7.468584060668945,61216,61215
7.478823900222778,61215,16351
7.489300489425659,62176,62175
7.499466180801392,62175,16351
7.509454965591431,62688,62687
7.519463539123535,62687,16351
7.5294694900512695,62560,62559
7.540145397186279,62559,16351
7.550792217254639,60832,60831
7.561394691467285,60831,16351
7.571577787399292,62112,62111
7.581820011138916,62111,16351
7.593917608261108,61024,61023
7.60046648979187,61023,16351
7.614993095397949,61536,61535
7.627356767654419,61535,16351
7.64052414894104,59552,59551
7.648350715637207,59551,16351
7.6585776805877686,61856,61855
7.669015169143677,61855,16351
7.679630517959595,61664,61663
7.691518306732178,61663,16351
7.6992645263671875,62176,62175
7.709458827972412,62175,16351
7.719517469406128,61024,61023
7.729472637176514,61023,16351
7.739843130111694,62176,62175
7.750043869018555,62175,16351
7.75947904586792,61472,61471
7.76947808265686,61471,16351
7.779472351074219,62560,62559
7.789861679077148,62559,16351
7.800115585327148,60640,60639
7.810643911361694,60639,16351
7.821171998977661,62752,62751
7.831670045852661,62751,16351
7.842683553695679,61024,61023
7.853286266326904,61023,16351
7.86373233795166,62048,62047
7.874064683914185,62047,16351
7.884482145309448,60704,60703
7.895098924636841,60703,16351
7.906804800033569,60960,60959
7.916317939758301,60959,16351
7.926720142364502,59296,59295
7.938935041427612,59295,16351
7.947905540466309,62048,62047
7.958384037017822,62047,16351
7.968769788742065,59808,59807
7.97932505607605,59807,16351
7.989953994750977,62880,62879
8.000025272369385,62879,16351
8.00947642326355,60576,60575
8.019471645355225,60575,16351
8.029487133026123,62176,62175
8.039801120758057,62175,16351
8.0851149559021,60832,60831
8.091520309448242,60831,16351
8.102174758911133,62496,62495
8.11247992515564,62495,16351
8.122844457626343,61984,61983
8.129318952560425,61983,16351
8.145206689834595,62176,62175
8.159449338912964,62175,16351
8.169310092926025,61600,61599
8.179446697235107,61599,16351
8.189512968063354,62048,62047
8.199310779571533,62047,16351
8.20931077003479,60704,60703
8.219640016555786,60703,16351
8.230185747146606,62368,62367
8.24068570137024,62367,16351
8.251715421676636,60960,60959
8.261427402496338,60959,16351
8.274321556091309,62240,62239
8.282205820083618,62239,16351
8.292755842208862,59808,59807
8.303380250930786,59807,16351
8.313788414001465,61920,61919
8.324097633361816,61919,16351
8.3346688747406,60448,60447
8.345253229141235,60447,16351
8.356088161468506,63008,63007
8.367347240447998,63007,16351
8.3761887550354,61216,61215
8.386696815490723,61215,16351
8.397165298461914,62048,62047
8.407735586166382,62047,16351
8.418174505233765,59680,59679
8.428674221038818,59679,16351
8.439026594161987,63008,63007
8.449605941772461,63007,16351
8.462061882019043,61152,61151
8.470690965652466,61151,16351
8.481181144714355,62816,62815
8.491795778274536,62815,16351
8.502202272415161,59488,59487
8.512733459472656,59487,16351
8.523181676864624,62752,62751
8.533411502838135,62751,16351
8.54406476020813,60832,60831
8.554699182510376,60831,16351
8.565358400344849,63200,63199
8.575582504272461,63199,16351
8.58623743057251,60896,60895
8.59664797782898,60895,16351
8.607203483581543,62176,62175
8.64418077468872,62175,16351
8.653457403182983,60704,60703
8.657417297363281,60703,16351
8.672816038131714,63392,63391
8.684050559997559,63391,16351
8.693858861923218,60768,60767
8.703060865402222,60767,16351
8.71314549446106,63200,63199
8.722666025161743,63199,16351
8.732723712921143,61728,61727
8.744751214981079,61727,16351
8.754061937332153,61984,61983
8.763774394989014,61983,16351
8.773930311203003,61472,61471
8.78427243232727,61471,16351
8.794553518295288,62816,62815
8.804950714111328,62815,16351
8.815082311630249,60832,60831
8.825124740600586,60831,16351
8.835344791412354,62432,62431
8.845552921295166,62431,16351
8.855686664581299,60256,60255
8.865753650665283,60255,16351
8.875818252563477,62176,62175
8.886354684829712,62175,16351
8.896003484725952,60448,60447
8.906192779541016,60447,16351
8.91633677482605,61664,61663
8.926572799682617,61663,16351
8.936769247055054,60000,59999
8.94731593132019,59999,16351
8.95759630203247,62368,62367
8.9677574634552,62367,16351
8.978507041931152,60128,60127
8.98948860168457,60127,16351
8.99896764755249,63008,63007
9.009496927261353,63007,16351
9.019476413726807,62368,62367
9.029480218887329,62367,16351
9.039473295211792,62048,62047
9.050035953521729,62047,16351
9.059761047363281,60960,60959
9.070183038711548,60959,16351
9.08067011833191,61728,61727
9.091392040252686,61727,16351
9.101685285568237,59808,59807
9.112040758132935,59807,16351
9.123133897781372,62176,62175
9.132786989212036,62175,16351
9.14331579208374,60512,60511
9.15418791770935,60511,16351
9.164710998535156,62688,62687
9.175231218338013,62687,16351
9.187868118286133,61344,61343
9.196801900863647,61343,16351
9.21309518814087,62240,62239
9.22811245918274,62239,16351
9.23833155632019,60320,60319
9.250477313995361,60319,16351
9.259724140167236,62432,62431
9.269475221633911,62431,16351
9.27946949005127,61728,61727
9.289477586746216,61727,16351
9.300588369369507,63520,63519
9.311154127120972,63519,16351
9.321420907974243,61152,61151
9.331548929214478,61151,16351
9.342098474502563,60896,60895
9.352813482284546,60895,16351
9.364148616790771,61472,61471
9.373734712600708,61471,16351
9.384250164031982,61408,61407
9.394664764404297,61407,16351
9.405234098434448,60960,60959
9.415638208389282,60959,16351
9.426252126693726,61920,61919
9.436891794204712,61919,16351
9.448025226593018,59936,59935
9.458303451538086,59935,16351
9.471173763275146,62752,62751
9.479218482971191,62751,16351
9.48986268043518,61728,61727
9.499467611312866,61727,16351
9.509458780288696,62496,62495
9.52126431465149,62495,16351
9.530486106872559,60640,60639
9.541214227676392,60639,16351
9.55164885520935,62560,62559
9.561868667602539,62559,16351
9.572141170501709,59744,59743
9.582796096801758,59743,16351
9.593707799911499,61856,61855
9.604243278503418,61855,16351
9.614768505096436,61664,61663
9.626232147216797,61663,16351
9.636350870132446,61728,61727
9.646068096160889,61727,16351
9.659831285476685,61216,61215
9.666169166564941,61215,16351
9.676313877105713,60960,60959
9.686905860900879,60959,16351
9.697478532791138,60448,60447
9.70808219909668,60447,16351
9.720242261886597,62496,62495
9.725654125213623,62495,16351
9.741691589355469,60448,60447
9.759991884231567,60447,16351
9.770685911178589,61984,61983
